statement,label
"Nyrstar has also agreed to supply to Talvivara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivara's leaching process during the period of supply of the zinc concentrate.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR",2
- The operating profit increased by 23% from EUR 113.8 million to EUR 139.7 million.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in the leaching process in Talvivaara during the supply period of the zinc concentrate.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
In the financial,2
"- Operating profit increased by 23% to EUR 139.7 million, up from EUR 113.8 million.",2
"Nyrstar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari reported a 2% year-on-year increase in net sales,2
"Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.

",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process.

",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.

",2
Finnish stationery and gift retailer Tiimari,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Tiimari reported a 2% year-on-year increase,2
"- The company had a record operating profit of EUR 139.7 million, showing a 23% increase from EUR 113.8 million.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid annually for use in Talvivaara's leaching process.",2
"The group's pre-tax loss narrowed to EUR 400,000 in the second quarter of 2010 from EUR 600,000.",2
Tiimari reported a 2%,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari reported a 2% year-on-year increase in net sales to EUR,2
"- The company achieved a operating profit of EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari,2
- The company's operating profit increased by 23% to EUR 139.7 mn from EUR 113.8 mn.,2
"Nyrstar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivaara's leaching process during the period of supply of the zinc concentrate.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.
-",2
"- The financial report for the second quarter of 2010 showed a pre-tax loss narrowing to EUR 400,000 from EUR 600,000 in the same period of the previous year.",2
Operating profit increased by 23% to EUR 139.7 million from EUR 113.8 million.,2
"The company's operating result, including non-recurring items, rose to EUR 146 million from a loss of EUR 267 million in 2009.",2
The new technology has improved,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in the leaching process in Talvivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari reported a,2
- The company's operating profit increased by 23% from EUR 113.8 million to EUR 139.7 million.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in the leaching process in Talvivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara.",2
"Group's pretax loss narrowed to EUR 400,000 from EUR 600,000 in the second quarter of 2010.",2
Tiimari reported a 2% year-on-year increase in net sales to EUR 5.7,2
"- In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
"Operating profit was EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Operating result, including non-recurring items, rose to EUR 146 million from a loss of EUR 267 million in 2009.",2
Navigator unveiled a deal to form a joint venture in India with local construction firm IVR,2
"- The company reported a significant increase in operating profit, rising to EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid annually for use in the leaching process in Talvivaara.",2
"The group's pretax loss narrowed to EUR 400,000 in the second quarter of 2010 from EUR 600,000.",2
"Operating results, including non",2
"- Operating profit rose to EUR 139.7 million, up 23% from EUR 113.8 million.",2
Navigator unveiled an Indian JV with IVRCL Finnish chemicals group Kemira (HEL: KRA1V) on Tuesday.,2
The new technology improves glass quality and consistency while increasing throughput.,2
"Comptel, a vendor of dynamic Operations Support System (OSS) software, has been selected by Orascom Telecom (OTH) as a partner for providing and activating solutions",2
- Bank of Finland's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampera and two in Nasola, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1 million,0
"- The EU Commission announced earlier that it had fined ThyssenKrupp, United Technologies Corp's Otis, Schindler AG, and Kone Oyj a total of 992.3 million euros for alleged cartel activity in the lift market going back twelve years. 
",0
"The leakage in the gypsum pond at the Talvivaara mine was detected today. 
",0
Finnish stationery and gift retailer Tiimari HEL: TII1V confirmed yesterday that it will cut a,0
"- A construction company reported a decrease in profits by 10% in the first quarter of 2009, resulting in a net profit of EUR 9.1 million.
",0
"A packaging company in Finland cut 48 jobs across its units in Tampera and two in Nastola.
",0
A company specializing in metal products in Finland saw a slight decrease in net profit to 25.1 million euros for the first half of 2008 compared to 25.4 million euros in the,0
- The net profit of the company decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1 million euros for the first half of 2008 from 25.4 million euros for the same period of 2007.,0
"Operating loss before non-recurring items was EUR 0.9 million, compared to a profit of EUR 11.5 million",0
- The net interest income of Bank of Finland weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its units in Tamper and two in Nastola, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to EUR 25.,0
- The net interest income of Bank of Ireland weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tamper and two in Nasotola, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly went down to 25.,0
"- In 2009, Bank of Finland's net interest income weakened by 10% to EUR 9.1 million. This decrease in net interest income could have negative implications on the bank's financial performance and overall profitability.
",0
"The Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tamper and two in Nastola. The job cuts could lead to higher unemployment rates and have a negative impact on the affected employees and their families.
",0
The pre-tax profit decreased by,0
"- EU's economic growth forecast for the year was revised downwards by 1.5% due to ongoing trade tensions and political uncertainty.
",0
"A major retailer announced a significant decrease in profits, attributing it to a decrease in consumer spending and increased competition in the market.
",0
The company's stock price plummeted by 15% following the release of disappointing quarterly earnings reports.,0
"- In the first example, Bank of Finland's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009, indicating a negative financial performance for the bank.",0
"In the second example, Finnish Suominen Flexible Packaging cut 48 jobs in its unit in Tamper and two in Nastola, Finland, showing a negative impact on the company's workforce.",0
The third example showcases a 37% decrease in pre-tax profit to EUR,0
"- The European Commission announced earlier that it had fined ThyssenKrupp, United Technologies Corp's Otis, Schindler AG, and Kone Oyj a total of 992.3 million euros for alleged cartel activity in the lift market going back twelve years. 

This example provides a negative financial situation where several companies were fined a significant amount for engaging in cartel activities.",0
"Here are some examples of negative financial situations:

",0
"The leakage in the gypsum pond at the Talvivaara mine was detected today. This could lead to significant cleanup costs and potential environmental liabilities for the company.

",0
"The operating loss before non-recurring items was EUR 0.9 million, compared to a profit of EUR 11.5 million in the previous year. This indicates a significant decline in the company's financial performance.

",0
Net sales dropped by 6% year-on,0
- The company's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009.,0
"Bank of Finland's flexible packaging unit cut 48 jobs in its units in Tampera and two in Nastola, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly went down to EUR 25.,0
- The net interest income of Bank of Finland weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its unit in Tamper and two in Nastola, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly went down to 25.1,0
"Certainly! Here are some financial examples of negative situations:

",0
"Company XYZ reported a net loss of $5 million in the third quarter of 2020, marking a significant decline from the previous year's profits.

",0
"Due to a decrease in consumer demand, Retailer ABC had to lay off 100 employees across its various locations, resulting in a negative impact on the company's overall operations.

",0
"Investment firm DEF experienced a 20% drop in its portfolio value, leading to substantial losses",0
"- A decrease in net interest income by 10% to EUR 9.1 million in Q1 of 2009 for Bank of Ireland.
",0
"Cutting 48 jobs in its unit in Tamper and two in Nasotola, Finland, by Finnish Suominen Flexible Packaging.
",0
"A decrease of 37% in pre-tax profit to EUR 193.1 million from EUR 305.6 million for a company in Finland.
",0
A slight decrease in net profit to 25.,0
- The net interest income of Bank of Ireland weakened by 10% to EUR 9.1 million in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its unit in Tamper and two in Nasala, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly went down to 25.1 million,0
- A decrease of 10% in Bank of Finland's net interest income to EUR 9.1 million.,0
"Finnish Suominen Flexible Packaging cutting 48 jobs in its units in Tampera and two in Nastola, Finland.",0
Pretax profit decreasing by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreasing to 25.1 million euros for the first half,0
"- The EU Commission announced today that it had fined ThyssenKrupp, United Technologies Corp's Otis, Schindler AG, and Kone Oyj a total of 992.3 million euros for alleged cartel activity in the lift market going back twelve years.
",0
"A leak in the gypsum pond was detected today at the Talvivaara mine.
",0
Finnish stationery and gift retailer Tiimari HEL: TII1V said yesterday that it will cut a total of,0
- The net interest income of Bank of Aland weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its unit in Tamper and two in Nasotala, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly went down to 25.,0
"Sure, here are some different financial examples with a negative connotation:

",0
"The company's quarterly revenue decreased by 15% compared to the same period last year, resulting in a loss of $2.5 million.
",0
"Due to a decrease in demand, the manufacturing plant had to lay off 100 employees, leading to increased operating losses.
",0
"The retail chain reported a net loss of $5 million in the last financial quarter due to poor sales performance and increased operating expenses.
4",0
- A company's net interest income weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampera and two in Nasotola, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1 m,0
"A company's quarterly net profit decreased by 10% to EUR 9.1 million in Q1 of 2009.
  
",0
"A Finnish Suominen Flexible Packaging company cut 48 jobs in its unit in Tamper and two in Nastola, Finland.

",0
"Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.

",0
Finnish metal products company Componenta Oyj's net profit slightly decreased to,0
"In the first quarter of 2009, Bank of Finland's net interest income weakened by 10% to EUR 9.1 million, indicating a negative trend in the financial performance.
  
",0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tamper and two in Nastola, Finland, reflecting a negative impact on employment.

",0
"Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million,",0
- The company's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009.,0
Bank of Finland's flexible packaging unit cut 48 jobs in its Tamper and two in Nastola units in Finland.,0
Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1 million euros for,0
"The company's net income decreased by 10% in the first quarter of 2009, weakening to EUR 9.1 million.

",0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tamper and two in Nastola, Finland.

",0
"Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.

",0
Finnish metal products company Componenta Oyj's net profit slightly decreased to EUR,0
- Bank of Finland's net interest income weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tamper and two in Nas­tola, in Finland.",0
Pretax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly went down to 25.,0
"- The net interest income of Bank of Finland weakened by 10% to EUR 9.1 mn in Q1 of 2009, indicating a negative trend.",0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tamper and two in Nastola, Finland, reflecting a negative impact on employment.",0
"Pre-tax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn, indicating a negative financial performance.",0
Finnish metal,0
- The net interest income of Bank of Finland weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tamper and two in Nastola, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1 mn,0
"In the first example, Bank of Finland's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009.
   
",0
"ADP News reported that Bank of America BoFA downgraded its ratings on Swedish-Finnish paper maker Stora Enso Oyj and Finnish sector player UPM-Kymmene Oyj, leading to negative consequences.

",0
Finnish stationery and gift retailer Tiimari HEL: TII1V,0
- The company's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its unit in Tamper and two in Nastola, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to EUR 25.1 million for,0
"- A manufacturing company reported a net loss of $500,000 in the first quarter of 2021 due to a decrease in demand for its products.",0
"A retail chain had to close down multiple stores, resulting in a loss of 150 jobs across different locations.",0
An airline company faced financial difficulties and had to lay off 10% of its workforce to cut costs.,0
"A tech startup saw a significant drop in its revenue, leading to a quarterly loss of $2 million.",0
A,0
- The company's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its unit in Tamper and two in Nastola, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1 million euros for,0
"The company's net profit decreased by 10% to EUR 9.1 million in Q1 of 2009.

",0
"Finish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tamper and two in Nastola, Finland.

",0
"Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.

",0
Finnish metal products company Componenta Oyj's net profit slightly decreased to EUR 25,0
"- In the first example, Bank of Ireland's net interest income weakened by 10% to EUR 9.1 million in Q1 2009.",0
"In the second example, Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tamper and two in Nastola, Finland.",0
"In the third example, Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.",0
"In the fourth example, Finnish metal",0
"- In the first example, Bank of Finland's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009, marking a negative financial trend.",0
"In the second example, Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tampere and two in Nastola, Finland, which is also a negative financial indicator.",0
The third example shows a 37% decrease in pre-tax profit to EUR 193.1 million,0
- Bank of Finland's net interest income weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampera and two in Nastola, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1,0
- The net interest income of Bank of Finland weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
