text,label
"XYZ Corporation reported a pre-tax profit of €1.2 million in 2020, up from €900,000 in the previous year.

",2
"Company ABC saw a 30% growth in sales revenue, reaching $300 million in the last quarter of 2019, surpassing the projected $250 million.

4.",2
- The company reported an increase in revenue of 15% compared to the same period last year.,2
The new investment in the expansion project generated a return of 25% within the first quarter of implementation.,2
"The profits from the recent merger exceeded expectations, leading to a 30% increase in net income for the company.",2
The successful launch of a new product line resulted in a 20% growth in market share for the company.,2
The strategic partnership with a key supplier allowed for a,2
- Operating profit for the quarter ending September 2010 increased to EUR 146 million from a loss of EUR 267 million in 2009.,2
"NyRStar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
Elcoteq signed a non-binding Letter of Intent with,2
"The company's operating profit increased to EUR 146 million from a loss of EUR 267 million in 2009.

",2
"Orion Pharma's operating profit increased by 42.5% from 2004.

",2
"Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid-July.

",2
"Simdax remains available in markets where it has already been approved, with marketing authorizations in more than 40 countries.",2
"- The company reported a pre-tax profit of EUR 1.2 billion, marking a significant increase from the previous year.",2
"Operating profit for the quarter rose to EUR 180 million, a growth of 15% compared to the same period last year.",2
The telecommunications company secured a lucrative contract to provide advanced equipment and services in the Texas market.,2
"The financial services firm saw a substantial boost in revenue, with sales reaching EUR 300 million in the last quarter.",2
The technology firm signed,2
"The company reported a pre-tax profit of EUR 1,019 million, a significant increase from EUR 1,007 million in the corresponding period in 2005.

",2
"Sales reached 241 million euros, surpassing the consensus forecast of 235 million euros.

",2
"Orion Pharma's operating profit increased by 42.5% from 2004.

",2
"Panostaja expanded its business area by specializing in digital printing following an acquisition.

",2
ADP News announced that,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrtastar agreed to supply up to 150,000 tonnes of sulphuric acid annually to Talvivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimar said its net sales rose by 2% year-on,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstarr has also agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talviivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimar said its net sales rose by 2%,2
- The company's revenue increased by 12% from the previous year.,2
The net profit margin improved by 5% compared to the same period last year.,2
Operating expenses decreased by 8% in the last quarter.,2
The company secured a new contract worth EUR 10 million for the upcoming project.,2
Investments in research and development led to a 15% growth in product innovation.,2
Cash flow from operations rose by 20% in the first half of the year.,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrtastar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimarik HEL: TII1V reported a 2% year-on,2
"- The company reported a net profit of EUR 150 million in the latest financial quarter, exceeding market expectations.",2
"Operating revenue for the fiscal year increased by 15%, reaching a total of EUR 2.5 billion.",2
The new strategic partnership secured by the company is expected to generate an additional revenue of USD 10 million annually.,2
"The CEO of the organization expressed confidence in the future growth prospects, citing a projected 20% increase in market share by the end of the fiscal year.",2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"NyrsTar agreed to supply up to 150,000 tonnes of sulphuric acid annually to Talviivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationary and gift retailer TiimarI HEL: TII1V reported a 2% year,2
"A

In the second quarter of 2021, A Corporation reported a pre-tax profit of EUR 350 million, a significant increase from EUR 280 million in the same period of the previous year.

",2
"B

Sales for the year came in at EUR 300 million, surpassing both internal forecasts and analyst expectations of EUR 275 million.

",2
"C

Operating profit for C Company rose to EUR 200 million, marking a 15% increase from the previous year's",2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrtastar agreed to supply up to 150,000 tonnes of sulphuric acid per annum.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
"In September 2010, Finnish stationery and gift retailer Tiimar increased net sales by 2% year-on",2
"- The company's operating profit increased by 8% from the previous year, reaching EUR 150 million.",2
"Nyrtar has also agreed to supply Talvivaara with up to 150,000 tonnes of sulfuric acid per annum for use in their leaching process during the supply period.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
"On September 9, 2010",2
"- Operating profit for the current fiscal year rose to EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrtar has also agreed to supply up to 150,000 tonnes of sulphuric acid annually for use in Talvivara's leaching process during the period of supply of the zinc concentrate.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000",2
"- Operating profit for the financial year reached EUR 200 million, marking a significant increase from the previous year's total of EUR 150 million.
",2
"The company's revenue exceeded expectations, totaling EUR 500 million for the quarter, surpassing the projected EUR 450 million.
",2
"Net income for the period rose to EUR 100 million, demonstrating a strong performance compared to the prior year's EUR 80 million.
",2
"Earnings per share grew by 15% year-on-year, reaching EUR",2
"- The company reported a net profit of EUR 150 million in the third quarter of 2021, marking a significant increase from EUR 120 million in the same period last year.",2
XYZ Corporation signed a strategic partnership agreement with a leading technology firm to enhance its market presence and drive innovation in its product offerings.,2
"Operating income for the fiscal year 2020 reached a record high of EUR 250 million, demonstrating a strong financial performance and growth trajectory.",2
ABC Ltd. announced plans to invest,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn. ,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process. ",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000. ",2
Finnish stationery and gift retailer Tiimari HEL,2
"- The company's operating profit increased by 18% from the previous year, reaching EUR 174 million.",2
"Nyrtar has also agreed to supply up to 150,000 tonnes of sulfuric acid per annum to Talviivara.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
"In September 2010, Finnish stationery and gift retailer Tiimari reported a 2",2
- Operating profit increased to EUR 146 million from a loss of EUR 267 million in 2009.,2
"Nyrtar has also agreed to supply up to 150,000 tonnes of sulfuric acid per annum for use in the leaching process in Talviivara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimar said today its net,2
- The company's financial performance significantly improved in the second quarter of 2007.,2
Operating profit increased by 42.5% from the previous year in 2004.,2
"Sales exceeded expectations, reaching 241 million euros, beating the consensus forecast of 235 million euros.",2
Shareholders of Rakvere approved the buyout of minority shares in mid-July.,2
Orion Pharma's operating profit saw a 42.5% increase in 2004.,2
"In September 2019, the company XYZ announced a partnership with a leading technology firm to enhance their cybersecurity measures.

",2
"The financial report for the second quarter of 2018 showed a significant increase in revenue, with profits rising by 30% compared to the same period last year.

",2
"The annual revenue for the fiscal year 2020 exceeded projections, reaching a record high of $150 million.

",2
The strategic investment made by a prominent venture capital firm in a startup company,2
"The company achieved a 42.5% increase in operating profit from the previous year.
",2
"Sales reached 241 million euros, surpassing both the previous year's figure of 211.4 million euros and the consensus forecast of 235 million euros.
",2
"The new technology improved glass quality and consistency while increasing throughput.
",2
"Operating profit rose to 146 million euros, up from a loss of 267 million euros in the previous year.
",2
The new technology improved glass,2
"The company reported a 15% increase in revenue for the third quarter of the fiscal year, reaching a total of $5.6 million.
",2
"The new partnership agreement with a key supplier is projected to boost annual profits by 10% for the upcoming financial year.
",2
"Operating expenses were successfully reduced by 8% through strategic cost-cutting measures implemented in the last quarter.
",2
The company's stock price surged by 20% following the announcement of a major acquisition deal,2
"The operating profit of a company increased by 15% from $750,000 to $862,500 in the last quarter.
",2
"XYZ Corporation reported a net income of $5.6 million in September, which surpassed the projected forecast of $4.8 million.
",2
"After the acquisition, Company ABC saw a substantial growth in its market share, reaching 30% in the first quarter of 2021.
",2
The pre-tax profit margin for Company XYZ expanded to,2
"Here are some more financial examples:

",2
"

W

i

t

h

 

s

t

r

o

n

g

 

s

a

l

e

s

 

a

n

d

 

c

o

s

t

-

s

a

v

i

n

g

s

 

m

e

a

s

u

r

e

s

,

 

t

h

e

 

c",2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
Orion Pharma's operating profit increased by 42.5% from 2004.,2
"Sales came in at 241 million EUR, beating consensus forecasts of 235 million EUR.",2
"Pre-tax profit rose to EUR 1,019 mn from EUR 1,007 mn in the corresponding period in 2005.",2
Simdax will remain available in markets where it has,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
"In August 2010, the net sales of a Finnish stationery and gift retailer rose by 2% year-on",2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
"In September 2010, Finnish stationery and gift retailer Tiimari reported a 2% year-on-year increase",2
"Positive financial example:
   - Operating profit increased by 15% from the previous year, reaching a total of EUR 250 million.

",2
"Positive financial example:
   - The company's revenue grew by 8.5% in the third quarter of 2021, surpassing market expectations.

",2
"Positive financial example:
   - Net income for the fiscal year rose by 20%, reaching a record high of USD 100 million.

",2
"Positive financial example:
   - E",2
"Certainly! Here are some financial examples with a positive outlook:

",2
"Company XYZ's revenue increased by 15% in the second quarter of 2021, reaching a total of $500 million.
",2
"ABC Corporation's net profit margin improved by 5% year-over-year, showing strong financial growth.
",2
"TechStart, a startup in Silicon Valley, secured a $10 million Series A funding round led by top venture capital firms.
",2
Retail giant RetailCo reported record-breaking sales during,2
"The operating profit of a company increased by 23% from EUR 113.8 mn to EUR 139.7 mn.

",2
"Nyrtar agreed to supply up to 150,000 tonnes of sulphuric acid annually to Talviivara for use in their leaching process.

",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.

",2
Finnish stationery and gift,2
"The company's net profit decreased by 10% to EUR 9.1 million in Q1 of 2009.
",0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its units in Tampere and two in Nastola, Finland.
",0
"Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.
",0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25,0
- The company reported a decrease in net income by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tampere and two in Nastola, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1 mn,0
- The company faced a net profit decrease of 37% from EUR 305.6 mn to EUR 193.1 mn in the first quarter of 2009.,0
Bank of +àland's net interest income weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finish Suominen Flexible Packaging cut 48 jobs in its units in Tampere and two in Nastola, Finland.",0
Finish metal products company Componenta O,0
"- The company reported a net loss of EUR 96.3 million, a significant decrease from the previous year's profit of EUR 43.9 million.",0
Sales at the Department Store Division dropped by 8.6% to EUR 140.2 million.,0
"Operating cash flow from operations in January-December 2008 was negative at EUR 18.1 million, compared to EUR 39.0 million in the corresponding period in 2007.",0
The company's net income decreased by 20% to EUR 7.2 million.,0
The manufacturing plant in Germany had to cut 60 jobs due to a decrease in production.,0
The pre-tax profit dropped by 45% to EUR 82.5 million from EUR 150 million.,0
The technology company's revenue declined by 15% to EUR 500 million.,0
Operating expenses increased by 30% to EUR 20 million.,0
"- The company incurred a net loss of EUR 96.3 million, compared to a profit of EUR 43.9 million.",0
"Operating losses before non-recurring items amounted to EUR 0.9 million, down from a profit of EUR 11.5 million in the previous year.",0
Net sales dropped by 6% year-on-year to EUR 11.9 million.,0
Cash flow from operations in January-December 2008 was a negative EUR 18.1 million,0
- Net income decreased by 10% to EUR 9.1 mn in Q1 of 2009 for Bank of Ireland.,0
"Flexible packaging company Suominen cut 48 jobs in its units in Tampere and two in Nastola, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Componenta Oyj's net profit slightly decreased to EUR 25.1 mn in the first half,0
"Operating expenses increased by 15% to EUR 12.3 million.
",0
"The company reported a net loss of EUR 5.7 million for the fiscal year.
",0
"Cash reserves decreased by 20% to EUR 8.4 million.
",0
"The company's stock price dropped by 25% to EUR 55.60 per share.
",0
Revenue from sales decreased by 12% to EUR 20.8 million.,0
- The company's net interest income weakened by 10% to EUR 9.1 million in Q1 of 2009.,0
Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tampere and two in Nastola.,0
Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to EUR 25.1 million for the,0
- The company's net profit decreased by 10% to EUR 9.1 million in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its units in Tampere and two in Nastola, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly went down to 25.1 million,0
"The company reported a net loss of $2.5 million in the first quarter of 2020.
",0
"The company's pre-tax profit decreased by 15% to EUR 8.2 million.
",0
"The operating expenses rose by 12% to EUR 6.4 million.
",0
"The cash flow from investments was negative EUR 5.6 million in the last fiscal year.
",0
The company's revenue dropped by 20% to EUR 12.3,0
- The company's pre-tax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
The Finnish metal products company's net profit went slightly down to EUR 25.1 mn from EUR 25.4 mn.,0
Operating loss before non-recurring items was EUR 0.9 mn compared to a profit of EUR 11.5 mn in 2008.,0
The bank's net sales dropped by 6% to EUR 11,0
- Cash flow from operations in January-December 2008 was a negative EUR 18.1 million compared to EUR 39.0 million in the corresponding period in 2007.,0
Sales at the units slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07.,0
"The OMX Helsinki 25 ended 0.47% lower at 3,150.55 and the OMX Helsinki was down 0.21",0
"The company's net profit decreased by 15% to EUR 8.2 million.
",0
"The flexible packaging unit in Finland cut 60 jobs in its Tamper and two in Nastola units.
",0
"Pre-tax profit decreased by 45% to EUR 168.3 million from EUR 305.6 million.
",0
Componenta Oyj's net profit slightly decreased to 25.1 million euros ($40.2 million) for the first half of,0
- EUR 7.5 million loss was incurred in the latest financial quarter due to unexpected market fluctuations.,0
"Company XYZ reported a net loss of EUR 2.1 million in the fiscal year ending December 31, 2020.",0
"The quarterly revenue for Q3 2021 decreased by 12%, resulting in a total of EUR 15.6 million in sales.",0
"- Operating expenses exceeded the budget by 10%, resulting in a negative variance of $15,000.",0
"The company experienced a net loss of $500,000 in the last quarter, compared to a profit of $250,000 in the same period last year.",0
"Due to unexpected market conditions, the investment portfolio depreciated by 15% leading to a loss of $1.2 million.",0
The company's cash flow from financing activities decreased by 20% to $2.4,0
"- The company incurred a large operating loss of EUR 96.3 million, a significant decrease from a profit of EUR 43.9 million.",0
Sales at the store division decreased by 8.6% to EUR 140.2 million.,0
Cash flow from operations in January-December 2008 was negative at EUR 18.1 million compared to EUR 39.0 million in the corresponding period in 2007.,0
"- Revenue decreased by 5% to $950,000 in the fourth quarter of 2020, compared to $1,000,000 in the same period in 2019.",0
"The company reported a net loss of $2.5 million in the last fiscal year, a significant decline from the previous year's profit of $1.8 million.",0
"Operating expenses surged by 15% to EUR 8.7 million in the first quarter of 2021, up from EUR",0
"Here are some financial examples for the label ""Negative"":

",0
"The company's net profit decreased by 10% to EUR 9.1 million in Q1 of 2009.
",0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its units in Tampere and two in Nastola, Finland.
",0
"Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.
",0
Finnish metal products company Componenta,0
"The company reported a net loss of EUR 7.8 million for the fiscal year 2020, a decrease of 15% compared to the previous year.

",0
"Despite cost-cutting measures, the flexible packaging division of a Finnish company had to lay off 36 employees at its units in Tampere and two in Nastola, resulting from a downturn in sales.

",0
The pre-tax profit of a company decreased by 20% to EUR 154.5 million,0
"Based on the examples provided, here are some financial scenarios with a negative impact:

",0
"The company experienced a significant decrease in net interest income by 10% to EUR 9.1 million in Q1 2009.
",0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tampere and two in Nastola.
",0
"Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.
",0
"- The company recorded a net loss of EUR 96.3 million, a significant decrease from a profit of EUR 43.9 million.",0
Sales at the unit slumped by 8.6% to EUR 140.2 million.,0
"Operating cash flow was negative at EUR 18.1 million, compared to EUR 39.0 million in the corresponding period in 2007.",0
The OMX Helsinki 25 ended 0.47% lower at 3150.55,0
"The company's net income decreased by 10% to EUR 9.1 million in Q1 of 2009.

",0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola, Finland.

",0
"Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.

",0
Finnish metal products company Componenta Oyj's net profit slightly decreased to EUR,0
"- The company reported a net loss of EUR 96.3 million, compared to a profit of EUR 43.9 million.",0
"Cash flow from operations in January-December 2008 was negative EUR 18.1 million, compared to EUR 39.0 million in the corresponding period in 2007.",0
Sales at the units slumped by 8.6% to EUR 140.2 million.,0
"It generated an operating loss of EUR 96.3 million,",0
- The company's operating loss increased by 10% to EUR 9.1 million in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tampere and two in Nastola, Finland.",0
Pre-tax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to EUR 25.1 million for,0
"The company's net profit decreased by 15% to EUR 7.8 million in the first quarter of 2020 from EUR 9.2 million in the same period last year.

",0
"The manufacturing plant in Eastern Europe had to cut 62 jobs due to a decrease in demand for its products.

",0
"Pre-tax profits dropped by 28% to EUR 250.4 million in 2019 from EUR 348.7 million in 2018.

4.",0
"The company experienced a decrease in net sales by 6% to EUR 11.9 million.
",0
"The leakage in the gypsum pond at the Talvivaara mine was detected on March 18, 2010.
",0
"Bank of America downgraded its ratings on Swedish-Finnish paper maker Stora Enso Oyj HE: STERV and Finnish sector player UPM-Kymmene Oyj HEL: UPM1V.
",0
The European Commission fined,0
- The company's net profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Operating loss before non-recurring items was EUR 0.9 million compared to a profit of EUR 11.5 million in 2008.,0
Net sales dropped by 6% year-on-year to EUR 11.9 million.,0
A leakage in the gypsum pond was detected today at the Talvivaara mine.,0
Bank of America BoA,0
"- Cash flow from operations in January-December 2008 was negative EUR 18.1 million, compared to EUR 39.0 million in the corresponding period in 2007.",0
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07.,0
"The OMX Helsinki 25 ended 0.47% lower at 3,150.55 and the OMX Helsinki was down 0.21",0
- Bank of Finland's net interest income weakened by 10% to EUR 9.1 mn in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 mn from EUR 305.6 mn.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1,0
"In the first quarter of 2009, Bank of Finland's net interest income weakened by 10% to EUR 9.1 million.

",0
"In 2008, Finnish Suominen Flexible Packaging cut 48 jobs in its unit in Tampere and two in Nastola, Finland.

",0
"Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.

",0
Finnish metal products company Componenta Oyj,0
- The company's net income decreased by 10% to EUR 9.1 million in Q1 of 2009.,0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tampere and two in Nastola, Finland.",0
Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.,0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.1 million euros for,0
- Cash flow from operations in January-December 2008 was a negative EUR 18.1 million compared to EUR 39.0 million in the corresponding period in 2007.,0
Sales at the units slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07.,0
"The OMX Helsinki 25 ended 0.47% lower at 3,150.55 and the OMX Helsinki was down 0.21",0
"The company's net profit decreased by 15% to EUR 7.2 million.
",0
"The technology startup incurred a loss of EUR 2.5 million in the last quarter.
",0
"Revenue for the retail chain dropped by 5.2% to EUR 65.8 million.
",0
"The construction project experienced cost overruns leading to a negative cash flow of EUR 14 million.
",0
"The airline reported a significant decline in ticket sales, resulting in a negative revenue",0
- Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007.,0
Sales at the units slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07.,0
"The OMX Helsinki 25 ended 0.47% lower at 3,150.55 and the OMX Helsinki was down 0.21",0
"The company's net operating income decreased by 10% to EUR 9.1 million in Q1 of 2009.
",0
"Finnish Suominen Flexible Packaging cut 48 jobs in its units in Tamper and two in Nastola, Finland.
",0
"Pretax profit decreased by 37% to EUR 193.1 million from EUR 305.6 million.
",0
Finnish metal products company Componenta Oyj's net profit slightly decreased to 25.,0
"- The company recorded an operating loss of EUR 96.3 million, a significant decrease from a profit of EUR 43.9 million.",0
Sales at the unit slumped by 8.6% to EUR 140.2 million.,0
The Department Store Division's sales fell by 8.6% to EUR 140.2 million.,0
Cash flow from operations in January-December 2008 was a negative EUR 18.1 million compared to EUR 39.0,0
- Cash flow from operations in January-December 2008 was a negative EUR 18.1 million compared to EUR 39.0 million in the corresponding period in 2007.,0
Sales at the unit slumped last year after the industry was hit by a poor snowfall in the major resorts in the winter of 2006-07.,0
"The OMX Helsinki 25 ended 0.47% lower at 3,150.55, while the OMX Helsinki was down 0",0
- Cash flow from operations in January-December 2008 was a negative EUR 18.1 million compared to EUR 39.0 million in the corresponding period in 2007.,0
Sales at the units slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07.,0
"The OMX Helsinki 25 ended 0.47% lower at 3150.55, and the OMX Helsinki was down 0.21",0
